icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
3949ea,1673128848,KJFK,1673151629,LFPG,AFR023  ,2063,133,4050.0,40.0,0,8
aceb76,1673128729,KJFK,1673135846,KMKE,EDV4718 ,2150,117,1628.0,121.0,0,9
4b1882,1673128628,KJFK,1673154627,LSZH,SWR11E  ,2441,125,784.0,10.0,0,7
a28de3,1673128557,KJFK,1673147261,KSEA,ASA221  ,2350,95,901.0,28.0,0,12
ac76f2,1673128495,KJFK,1673140849,MMUN,DAL488  ,2421,133,4335.0,84.0,0,1
4caa9b,1673128378,KJFK,1673154733,LIRF,ITY609  ,2350,102,2927.0,11.0,0,3
a97dcb,1673128293,KJFK,1673144018,KBTF,DAL667  ,2216,156,6890.0,180.0,0,3
a71ded,1673128241,KJFK,1673135784,KJAX,JBU1677 ,2518,156,5788.0,158.0,0,6
a27600,1673128158,KJFK,1673130538,KBOS,JBU1118 ,1364,140,8431.0,367.0,0,1
a194aa,1673128114,KJFK,1673144207,,JBU1965 ,2816,232,,,0,0
a21109,1673128101,KJFK,1673130078,KEWR,N232MH  ,3210,11,6230.0,28.0,1,5
adbaca,1673128045,KJFK,1673147248,KLAX,JBU823  ,2714,186,2937.0,22.0,0,7
a3dbd0,1673127979,KJFK,1673132833,KDTW,JBU1019 ,1982,110,8838.0,275.0,0,10
a11d47,1673127824,KJFK,1673147812,KSFO,DAL2229 ,2501,239,1219.0,41.0,0,5
ace063,1673127527,KJFK,1673148560,KSFO,JBU615  ,2521,148,1213.0,26.0,0,5
a3ed91,1673127440,KJFK,1673132310,KCLT,AAL327  ,1846,64,6238.0,183.0,0,5
a19910,1673127357,KJFK,1673136042,KFLL,JBU1401 ,2046,163,2694.0,4.0,0,4
a3b0fe,1673127274,KJFK,1673133870,KATL,DAL2890 ,1604,79,3291.0,23.0,0,20
3c4a8b,1673126853,KJFK,1673151203,EDDF,DLH401  ,1924,72,1010.0,41.0,0,5
a976c7,1673126771,KJFK,1673133437,KATL,JBU1719 ,1678,79,3399.0,15.0,0,20
a2033a,1673126192,KJFK,1673128212,KORH,JBU776  ,1249,110,390.0,40.0,0,10
a03765,1673126134,KJFK,1673144862,KLAX,AAL306  ,2814,171,2739.0,38.0,0,7
a5106e,1673126019,KJFK,1673129596,7PS7,RPA4640 ,1551,95,11080.0,762.0,0,9
a186ad,1673125953,KJFK,1673130344,,JBU1273 ,2090,178,,,0,0
a35388,1673125811,KJFK,1673142627,KPHX,AAL1587 ,2296,133,897.0,86.0,0,10
a06a54,1673125680,KJFK,1673133707,KMCO,DAL2652 ,1771,110,6233.0,138.0,0,8
a12861,1673125543,KJFK,1673144681,KLAX,DAL2801 ,1996,125,1704.0,7.0,0,8
a30961,1673125461,KJFK,1673128948,7PS7,EDV5072 ,1829,117,7233.0,731.0,0,11
a517dc,1673125360,KJFK,1673128638,KDCA,RPA4560 ,1389,72,2695.0,10.0,0,5
a23fb2,1673125263,KJFK,1673129919,KCMH,RPA5639 ,1943,178,1477.0,88.0,0,13
a72530,1673125118,KJFK,1673133381,KF45,N56GJ   ,1164,72,2546.0,778.0,0,7
a1ccec,1673124973,KJFK,1673128481,KRIC,RPA5657 ,1453,133,6287.0,185.0,0,10
ac5569,1673124887,KJFK,1673133671,KMIA,AAL338  ,1929,64,6787.0,195.0,0,5
a7da9c,1673124811,KJFK,1673132846,KF45,JBU53   ,2214,110,8320.0,1037.0,0,8
a08e82,1673124723,KJFK,1673130652,KIND,RPA4449 ,1645,95,4297.0,21.0,0,32
a48315,1673124670,KJFK,1673133310,KMIA,DAL2238 ,1970,79,6968.0,203.0,0,5
a41c56,1673124610,KJFK,1673133582,KFLL,DAL2763 ,1467,72,2923.0,12.0,0,4
a8712a,1673124565,KJFK,1673135470,TJSJ,JBU2703 ,2306,133,4757.0,157.0,0,1
a17063,1673124485,KJFK,1673133128,KFLL,JBU2901 ,1732,102,2876.0,12.0,0,4
a34978,1673124409,KJFK,1673130959,KMKE,JBU679  ,1221,41,1338.0,144.0,0,9
a9607d,1673123985,KJFK,1673143029,KLAX,JBU623  ,2523,201,2893.0,15.0,0,7
ace7bf,1673123890,KJFK,1673130292,KSAV,EDV4646 ,2288,156,5618.0,160.0,0,3
a3e658,1673123579,KJFK,1673140228,,AAL2557 ,2290,117,,,0,0
ad4f72,1673123520,KJFK,1673131792,KMCO,JBU383  ,2119,140,7300.0,206.0,0,8
a2b622,1673123451,KJFK,1673126896,KBUF,JBU2902 ,1641,117,651.0,99.0,0,15
a14bdd,1673123351,KJFK,1673139809,MMMX,AMX409  ,2958,110,17002.0,680.0,0,1
a449f1,1673123283,KJFK,1673140645,KLAS,DAL541  ,2209,163,2496.0,100.0,0,4
a23844,1673123221,KJFK,1673126363,KDCA,RPA5790 ,1431,110,3018.0,25.0,0,5
a3311b,1673123172,KJFK,1673132987,06MO,JBU2221 ,1552,110,6763.0,425.0,0,22
a73dfe,1673123126,KJFK,1673132779,,JBU2637 ,2191,140,,,0,0
a9fa34,1673122905,KJFK,1673128641,67KY,CKS651  ,1766,87,3992.0,12.0,0,11
a83e86,1673122746,KJFK,1673127087,KRDU,JBU2285 ,1765,110,2433.0,56.0,0,6
a1d45a,1673122597,KJFK,1673125800,KIAD,RPA5797 ,1594,140,1861.0,79.0,0,8
a066a3,1673122419,KJFK,1673124834,KBOS,DAL1565 ,1484,110,8208.0,359.0,0,1
a305aa,1673122182,KJFK,1673126270,KBKL,EDV5321 ,1432,64,2203.0,995.0,0,7
a41f72,1673122118,KJFK,1673128708,KIND,LXJ365  ,851,102,8971.0,320.0,0,32
ac7c67,1673121973,KJFK,1673124198,KBWI,EDV5449 ,1176,72,1019.0,67.0,0,5
899133,1673121880,KJFK,1673147605,PANC,EVA625  ,2287,140,428.0,83.0,0,15
a3245d,1673121711,KJFK,1673126439,KCLT,EDV5187 ,1791,133,5649.0,145.0,0,5
0d09c2,1673121308,KJFK,1673138988,MMJC,VIV101  ,2139,117,11734.0,1045.0,0,1
0c2095,1673121237,KJFK,1673137587,MPTO,CMP812  ,1992,125,8747.0,461.0,0,3
a56a91,1673121086,KJFK,1673123488,,RPA4389 ,1640,163,,,0,0
ad6b16,1673120606,KJFK,1673138097,SKBO,AVA211  ,1804,95,7004.0,171.0,0,2
a707a3,1673120424,KJFK,1673134267,KAUS,JBU295  ,2086,79,2833.0,5.0,0,6
7100c8,1673119736,KJFK,1673177308,,SVA020  ,2402,133,,,0,0
a3a575,1673119413,KJFK,1673121705,VT03,JBU134  ,1546,87,26786.0,2354.0,0,0
a07f60,1673119358,KJFK,1673123698,KRDU,EDV5081 ,1810,148,2412.0,48.0,0,6
4ba9cd,1673119247,KJFK,1673151444,LTFM,THY4    ,2576,102,5179.0,190.0,0,2
8964bf,1673119146,KJFK,1673161193,OMAA,ETD102  ,2330,125,13628.0,1131.0,0,2
0d0abd,1673118964,KJFK,1673137687,MMJC,AMX405  ,2510,125,14077.0,938.0,0,1
a1a3cc,1673118796,KJFK,1673133734,,JBU1769 ,2247,163,,,0,0
a85119,1673118574,KJFK,1673129967,TJSJ,JBU803  ,1651,95,4292.0,142.0,0,1
